,detection_rate,TPR,FPR,FDR,accurate_rate,microseconds,seconds,minutes,hours,sample_size
gener9_turns1,0.957,0.957,0.0011,0.0053,0.0,648137.286,648.14,10.8,0.18,2299.0
gener9_turns2,0.968,0.968,0.0005,0.0024,0.0,881051.25,881.05,14.68,0.24,2298.0
gener9_turns3,0.9612,0.9612,0.0,0.0,0.0,580418.259,580.42,9.67,0.16,2281.0
gener9_turns4,0.9604,0.9604,0.0,0.0,0.0,792298.815,792.3,13.21,0.22,2296.0
gener9_turns5,0.936,0.936,0.0005,0.0026,0.0,619900.022,619.9,10.33,0.17,2299.0
gener9_mean,0.9565199999999999,0.9565199999999999,0.00042000000000000007,0.00206,0.0,704361.1264,704.362,11.738,0.194,2294.6
