,detection_rate,TPR,FPR,FDR,accurate_rate,microseconds,seconds,minutes,hours,sample_size
gener8_turns1,0.9754,0.9754,0.0044,0.0198,0.0,80993.414,80.99,1.35,0.02,1122.0
gener8_turns2,0.9289,0.9289,0.0011,0.0048,0.0,89096.998,89.1,1.48,0.02,1148.0
gener8_turns3,0.9471,0.9471,0.0021,0.0092,0.0,103798.366,103.8,1.73,0.03,1171.0
gener8_turns4,0.9681,0.9681,0.0043,0.0215,0.0,52664.412,52.66,0.88,0.01,1120.0
gener8_turns5,0.9567,0.9567,0.0032,0.0149,0.0,77890.588,77.89,1.3,0.02,1137.0
gener8_mean,0.9552399999999999,0.9552399999999999,0.00302,0.01404,0.0,80888.7556,80.88799999999999,1.348,0.02,1139.6
