,detection_rate,TPR,FPR,FDR,accurate_rate,microseconds,seconds,minutes,hours,sample_size
gener11_turns1,0.9414,0.9414,0.0,0.0,0.0,37256305.821,37256.31,620.94,10.35,9217.0
gener11_turns2,0.9167,0.9167,0.0,0.0,0.0,34450086.107,34450.09,574.17,9.57,9220.0
gener11_turns3,0.927,0.927,0.0,0.0,0.0,34813705.368,34813.71,580.23,9.67,9197.0
gener11_turns4,0.9271,0.9271,0.0001,0.0007,0.0,35136225.445,35136.23,585.6,9.76,9202.0
gener11_turns5,0.9281,0.9281,0.0,0.0,0.0,37936236.725,37936.24,632.27,10.54,9211.0
gener11_mean,0.92806,0.92806,2e-05,0.00014,0.0,35918511.893199995,35918.515999999996,598.642,9.978,9209.4
