,detection_rate,TPR,FPR,FDR,accurate_rate,microseconds,seconds,minutes,hours,sample_size
gener10_turns1,0.952,0.952,0.0,0.0,0.0,4623748.392,4623.75,77.06,1.28,4614.0
gener10_turns2,0.9236,0.9236,0.0,0.0,0.0,4352804.979,4352.8,72.55,1.21,4601.0
gener10_turns3,0.9313,0.9313,0.0,0.0,0.0,5330333.953,5330.33,88.84,1.48,4623.0
gener10_turns4,0.9502,0.9502,0.0003,0.0013,0.0,4652460.07,4652.46,77.54,1.29,4594.0
gener10_turns5,0.9304,0.9304,0.0003,0.0013,0.0,4585780.889,4585.78,76.43,1.27,4579.0
gener10_mean,0.9375,0.9375,0.00011999999999999999,0.00052,0.0,4709025.6566,4709.023999999999,78.48400000000001,1.3059999999999998,4602.2
