,detection_rate,TPR,FPR,FDR,accurate_rate,microseconds,seconds,minutes,hours,sample_size
gener7_turns1,0.9583,0.9583,0.0188,0.0891,0.0217,6788.509,6.79,0.11,0.0,574.0
gener7_turns2,0.9706,0.9706,0.0065,0.0294,0.0,7654.581,7.65,0.13,0.0,566.0
gener7_turns3,0.9111,0.9111,0.0104,0.0575,0.0122,5405.042,5.41,0.09,0.0,573.0
gener7_turns4,0.9444,0.9444,0.0151,0.0642,0.0,8566.743,8.57,0.14,0.0,572.0
gener7_turns5,0.978,0.978,0.0085,0.043,0.0,6099.052,6.1,0.1,0.0,564.0
gener7_mean,0.9524799999999999,0.9524799999999999,0.011859999999999999,0.05663999999999999,0.00678,6902.785399999999,6.904000000000001,0.11399999999999999,0.0,569.8
