,detection_rate,TPR,FPR,FDR,accurate_rate,microseconds,seconds,minutes,hours,sample_size
gener7_turns1,0.75,0.75,0.0837,0.3571,0.6806,13100.367,13.1,0.22,0.0,574.0
gener7_turns2,0.7059,0.7059,0.0409,0.2088,0.6944,13128.597,13.13,0.22,0.0,566.0
gener7_turns3,0.7222,0.7222,0.0994,0.4248,0.5692,12785.59,12.79,0.21,0.0,573.0
gener7_turns4,0.6852,0.6852,0.0668,0.2952,0.6892,12703.918,12.7,0.21,0.0,572.0
gener7_turns5,0.8462,0.8462,0.0317,0.163,0.7922,12977.215,12.98,0.22,0.0,564.0
gener7_mean,0.7419,0.7419,0.06449999999999999,0.28978,0.6851200000000001,12939.137400000001,12.940000000000001,0.21600000000000003,0.0,569.8
