,detection_rate,TPR,FPR,FDR,accurate_rate,microseconds,seconds,minutes,hours,sample_size
gener6_turns1,0.9592,0.9592,0.0711,0.2656,0.234,2089.659,2.09,0.03,0.0,288.0
gener6_turns2,0.9574,0.9574,0.0349,0.1509,0.0444,1889.287,1.89,0.03,0.0,276.0
gener6_turns3,0.9259,0.9259,0.0474,0.1803,0.06,2150.639,2.15,0.04,0.0,286.0
gener6_turns4,0.9744,0.9744,0.041,0.2083,0.0526,1568.4650000000001,1.57,0.03,0.0,283.0
gener6_turns5,0.9677,0.9677,0.056,0.1781,0.05,2752.564,2.75,0.05,0.0,294.0
gener6_mean,0.95692,0.95692,0.05008,0.19664,0.0882,2090.1228,2.09,0.036,0.0,285.4
